Park,State,Spring,Summer,Fall,Total
Acadia,Maine,54212,264288,157764,491360
Apostle Islands,Wisconsin,5779,24752,12170,45540
Arches,Utah,172387,202429,151742,569658
Big Bend,Texas,56583,21896,35669,155748
Bryce Canyon,Utah,158701,245418,177327,623241
Capitol Reef,Utah,270641,259080,217466,786764
Crater Lake,Oregon,24468,201731,54512,285594
Death Valley,California,99269,124506,107237,410848
Grand Canyon,Arizona,537160,657787,501213,1967482
Grand Teton,Wyoming,484160,1642717,762411,3207493
Great Smoky Mountains,Tennessee,2727294,3534925,4539863,13876483
Guadalupe Mountains,Texas,36588,18826,21687,98732
Joshua Tree,California,275422,107437,178859,782167
Kenai Fjords,Alaska,4806,44912,8076,57794
Kings Canyon,California,48458,121431,62998,254443
Lassen Volcanic,California,17630,119634,54710,200658
Mount Rainier,Washington,85301,539982,231668,889046
Olympic,Washington,280318,557783,257392,1219445
Rocky Mountain,Colorado,182488,763554,404973,1441294
Saguaro,Arizona,888437,745084,778869,3317359
Sequoia,California,102948,200704,104590,454829
Shenandoah,Virginia,133008,216878,217344,610768
Yellowstone,Wyoming,405543,1500447,590027,2656437
Yosemite,California,395534,800951,520111,1888971
Zion,Utah,463766,482898,402714,1534932